departamento,anio,franja_horaria,siniestros
APURIMAC,2023,06:01 A 08:00,49
APURIMAC,2023,08:01 A 10:00,74
APURIMAC,2023,10:01 A 12:00,95
APURIMAC,2023,12:01 A 14:00,57
APURIMAC,2023,14:01 A 16:00,73
APURIMAC,2023,16:01 A 18:00,78
APURIMAC,2023,18:01 A 20:00,71
APURIMAC,2023,20:01 A 22:00,54
APURIMAC,2023,22:01 A 24:00,63
APURIMAC,2024,00:01 A 02:00,21
APURIMAC,2024,02:01 A 04:00,32
APURIMAC,2024,04:01 A 06:00,71
APURIMAC,2024,06:01 A 08:00,90
APURIMAC,2024,08:01 A 10:00,86
APURIMAC,2024,10:01 A 12:00,60
APURIMAC,2024,12:01 A 14:00,61
APURIMAC,2024,14:01 A 16:00,56
APURIMAC,2024,16:01 A 18:00,54
APURIMAC,2024,18:01 A 20:00,71
APURIMAC,2024,20:01 A 22:00,61
APURIMAC,2024,22:01 A 24:00,40
AREQUIPA,2008,08:00 A 14:00,1672
AREQUIPA,2008,14:00 A 20:00,1772
AREQUIPA,2008,20:00 A 02:00,1142
AREQUIPA,2008,02:00 A 08:00,707
AREQUIPA,2009,08:00 A 14:00,1690
AREQUIPA,2009,14:00 A 20:00,1828
AREQUIPA,2009,20:00 A 02:00,1237
AREQUIPA,2009,02:00 A 08:00,839
AREQUIPA,2010,08:00 A 14:00,1502
AREQUIPA,2010,14:00 A 20:00,1699
AREQUIPA,2010,20:00 A 02:00,939
AREQUIPA,2010,02:00 A 08:00,669
AREQUIPA,2011,08:00 A 14:00,1765
AREQUIPA,2011,14:00 A 20:00,1792
AREQUIPA,2011,20:00 A 02:00,1194
AREQUIPA,2011,02:00 A 08:00,886
AREQUIPA,2012,08:00 A 14:00,1653
AREQUIPA,2012,14:00 A 20:00,1910
AREQUIPA,2012,20:00 A 02:00,1312
AREQUIPA,2012,02:00 A 08:00,829
AREQUIPA,2013,08:00 A 14:00,1905
