departamento,anio,sexo,grupo_etario,fallecidos
ANCASH,2020,MASCULINO,DE 6 A 11 AÑOS,1
ANCASH,2020,MASCULINO,DE 12 A 17 AÑOS,3
ANCASH,2020,MASCULINO,DE 18 A 29 AÑOS,12
ANCASH,2020,MASCULINO,DE 30 A 59 AÑOS,24
ANCASH,2020,MASCULINO,DE 60 A MÁS AÑOS,8
ANCASH,2020,FEMENINO,DE 0 A 5 AÑOS,0
ANCASH,2020,FEMENINO,DE 6 A 11 AÑOS,0
ANCASH,2020,FEMENINO,DE 12 A 17 AÑOS,0
ANCASH,2020,FEMENINO,DE 18 A 29 AÑOS,2
ANCASH,2020,FEMENINO,DE 30 A 59 AÑOS,8
ANCASH,2020,FEMENINO,DE 60 A MÁS AÑOS,3
ANCASH,2021,MASCULINO,DE 0 A 5 AÑOS,2
ANCASH,2021,MASCULINO,DE 6 A 11 AÑOS,2
ANCASH,2021,MASCULINO,DE 12 A 17 AÑOS,1
ANCASH,2021,MASCULINO,DE 18 A 29 AÑOS,24
ANCASH,2021,MASCULINO,DE 30 A 59 AÑOS,52
ANCASH,2021,MASCULINO,DE 60 A MÁS AÑOS,7
ANCASH,2021,FEMENINO,DE 0 A 5 AÑOS,1
ANCASH,2021,FEMENINO,DE 6 A 11 AÑOS,0
ANCASH,2021,FEMENINO,DE 12 A 17 AÑOS,2
ANCASH,2021,FEMENINO,DE 18 A 29 AÑOS,6
ANCASH,2021,FEMENINO,DE 30 A 59 AÑOS,10
ANCASH,2021,FEMENINO,DE 60 A MÁS AÑOS,3
ANCASH,2022,MASCULINO,DE 0 A 5 AÑOS,2
ANCASH,2022,MASCULINO,DE 6 A 11 AÑOS,0
ANCASH,2022,MASCULINO,DE 12 A 17 AÑOS,3
ANCASH,2022,MASCULINO,DE 18 A 29 AÑOS,25
ANCASH,2022,MASCULINO,DE 30 A 59 AÑOS,44
ANCASH,2022,MASCULINO,DE 60 A MÁS AÑOS,9
ANCASH,2022,FEMENINO,DE 0 A 5 AÑOS,1
ANCASH,2022,FEMENINO,DE 6 A 11 AÑOS,1
ANCASH,2022,FEMENINO,DE 12 A 17 AÑOS,7
ANCASH,2022,FEMENINO,DE 18 A 29 AÑOS,7
ANCASH,2022,FEMENINO,DE 30 A 59 AÑOS,12
ANCASH,2022,FEMENINO,DE 60 A MÁS AÑOS,2
ANCASH,2023,MASCULINO,DE 0 A 5 AÑOS,3
